program,faculty,campus,duration,eng_taught,type,url
Commerce and Arts,Faculty of Business and Economics + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-arts-b2020
Commerce and Biomedical Science,"Faculty of Business and Economics + Faculty of Medicine, Nursing and Health Sciences",主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-biomedical-science-b2021
Commerce and Computer Science,Faculty of Business and Economics + Faculty of Information Technology,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-computer-science-b2008
Commerce and Economics,Faculty of Business and Economics,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-economics-b2032
Commerce and Finance,Faculty of Business and Economics,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-finance-b2043
Commerce and Global Studies,Faculty of Business and Economics + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-global-studies-b2006
Commerce and Information Technology,Faculty of Business and Economics + Faculty of Information Technology,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-information-technology-b2025
Commerce and Music,Faculty of Business and Economics + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-music-b2022
"Commerce and Politics, Philosophy and Economics",Faculty of Business and Economics + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-politics-philosophy-and-economics-b2047
Commerce and Science,Faculty of Business and Economics + Faculty of Science,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-science-b2023
Computer Science,Faculty of Information Technology,主校区+Malaysia,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/computer-science-c2001
Computer Science,Faculty of Information Technology,主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/computer-science-c3702
Computer Science Advanced,Faculty of Information Technology,主校区,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/computer-science-advanced-c3001
Criminology,Faculty of Arts,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/criminology-a2008
Criminology and Information Technology,Faculty of Arts + Faculty of Information Technology,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/criminology-and-information-technology-a2009
Design,"Faculty of Art, Design and Architecture",Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/design-f2010
Design and Arts,"Faculty of Art, Design and Architecture + Faculty of Arts",Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/design-and-arts-f2014
Design and Business,"Faculty of Art, Design and Architecture + Faculty of Business and Economics",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/design-and-business-f2011
Design and Fine Art,"Faculty of Art, Design and Architecture",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/design-and-fine-art-f2020
Design and Information Technology,"Faculty of Art, Design and Architecture + Faculty of Information Technology",Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/design-and-information-technology-f2012
Design and Media Communication,"Faculty of Art, Design and Architecture + Faculty of Arts",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/design-and-media-communication-f2009
Digital Business,Faculty of Business and Economics,Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/digital-business-b2049
Digital Business and Business,Faculty of Business and Economics,Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/digital-business-and-business-b2051
Digital Business and Information Technology,Faculty of Business and Economics + Faculty of Information Technology,Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/digital-business-and-information-technology-b2050
Economics,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/economics-b2031
