program,faculty,campus,duration,eng_taught,type,url
Double major in Mathematics & Computer Science,Department of Mathematics+Department of Computer Science,主校区,3,TRUE,交叉学科（单学位）,https://programmes.polytechnique.edu/en/bachelor/program-details/double-major-in-mathematics-computer-science
Double major in Mathematics & Economics,Department of Mathematics+Department of Economics,主校区,3,TRUE,交叉学科（单学位）,https://programmes.polytechnique.edu/en/bachelor/program-details/double-major-in-mathematics-economics
Double major in Mathematics & Physics,Department of Mathematics+Department of Physics,主校区,3,TRUE,交叉学科（单学位）,https://programmes.polytechnique.edu/en/bachelor/program-details/double-major-in-mathematics-physics
