program,faculty,campus,duration,eng_taught,type,url
Bachelor of Engineering Honours (Electrical Engineering),Faculty of Engineering,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-electrical-engineering2.html
Bachelor of Applied Science (Occupational Therapy),Faculty of Medicine and Health,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-applied-science-occupational-therapy0.html
Bachelor of Social Work,Faculty of Arts and Social Sciences,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-social-work0.html
Bachelor of Applied Science (Exercise Physiology),Faculty of Medicine and Health,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-applied-science-exercise-physiology7.html
Bachelor of Applied Science (Physiotherapy),Faculty of Medicine and Health,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-applied-science-physiotherapy.html
Bachelor of Applied Science (Speech Pathology),Faculty of Medicine and Health,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-applied-science-speech-pathology.html
Bachelor of Applied Science (Diagnostic Radiography),Faculty of Medicine and Health,主校区,4,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-applied-science-diagnostic-radiography.html
Bachelor of Music (Music Education),Sydney Conservatorium of Music,Sydney Conservatorium of Music,4,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-music-music-education.html
Bachelor of Engineering Honours and Bachelor of Science (Medical Science),"Faculty of Engineering",主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-and-bachelor-of-science-medical-science.html
Bachelor of Economics and Bachelor of Laws,University of Sydney Business School,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-economics-and-bachelor-of-laws.html
Bachelor of Science and Bachelor of Laws,Faculty of Science,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-science-and-bachelor-of-laws.html
Bachelor of Arts and Bachelor of Laws,Faculty of Arts and Social Sciences,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts-and-bachelor-of-laws.html
Bachelor of Commerce and Bachelor of Laws,University of Sydney Business School,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce-and-bachelor-of-laws.html
"Bachelor of Education and Bachelor of Advanced Studies (Secondary)",Faculty of Arts and Social Sciences,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-education-and-bachelor-of-advanced-studies-secondary.html
"Bachelor of Pharmacy (Honours) and Master of Pharmacy Practice",Faculty of Medicine and Health,主校区,5,TRUE,本硕连读,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-pharmacy-honours-and-master-of-pharmacy-practice.html
"Bachelor of Music and Bachelor of Advanced Studies (Composition)",Sydney Conservatorium of Music,Sydney Conservatorium of Music,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-music-and-bachelor-of-advanced-studies-composition.html
Bachelor of Music and Bachelor of Advanced Studies (Performance),Sydney Conservatorium of Music,Sydney Conservatorium of Music,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-music-and-bachelor-of-advanced-studies-performance.html
Bachelor of Engineering Honours and Bachelor of Project Management,Faculty of Engineering,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-and-bachelor-of-project-management.html
Bachelor of Advanced Computing and Bachelor of Science (Medical Science),Faculty of Engineering,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-advanced-computing-and-bachelor-of-science-medical-science.html
Bachelor of Engineering Honours (Biomedical Engineering) and Bachelor of Science (Health),Faculty of Engineering,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-biomedical-engineering-and-bachelor-of-science-health.html
Bachelor of Advanced Computing and Bachelor of Science (Health),Faculty of Engineering,主校区,5,TRUE,双学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-advanced-computing-and-bachelor-of-science-health.html
