program,faculty,campus,duration,eng_taught,type,url,
"Bachelor of Languages (with Year in Asia)",ANU College of Arts and Social Sciences,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/blany,
Bachelor of Philosophy (Honours) - Science,ANU College of Science and Medicine,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/aphsc,
Bachelor of Philosophy (Honours)—Humanities and Social Sciences,ANU College of Asia and the Pacific,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/ahuss,
Bachelor of Science (Advanced) (Honours),ANU College of Science and Medicine,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/ascad,
Bachelor of Science (with Year in Asia),ANU College of Science and Medicine,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bscy,
"Flexible Double Degree - Arts, Social Sciences, Business, Science",The Australian National University,主校区,4,TRUE,双学位,https://programsandcourses.anu.edu.au/program/4050fdd,
Flexible Double Degree - Advanced Computing (Honours),The Australian National University,主校区,5,TRUE,双学位,https://programsandcourses.anu.edu.au/program/4850fdd,
Flexible Double Degree - Law (Honours),The Australian National University,主校区,5,TRUE,双学位,https://programsandcourses.anu.edu.au/program/4350fdd,
"Flexible Double Degree PhB Advanced Arts Social Sciences Business & Science",The Australian National University,主校区,5,TRUE,双学位,https://programsandcourses.anu.edu.au/program/4569fdd,
Flexible Double Degree - Engineering,The Australian National University,主校区,5.5,TRUE,双学位,https://programsandcourses.anu.edu.au/program/4855fdd,
Bachelor of Laws (Honours),ANU College of Law, Governance and Policy,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/allb
