program,faculty,campus,duration,eng_taught,type,url
Computer Science,"School of Physics, Mathematics and Computing",主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/computer-science
Conservation Biology,School of Biological Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/conservation-biology
Criminology,School of Social Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/criminology
Business Management,UWA Business School,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/business-management
Environmental Science,UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/environmental-science
Artificial Intelligence,"School of Physics, Mathematics and Computing",主校区,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/artificial-intelligence
Business Law,UWA Law School,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/business-law
Human Resource Management,UWA Business School,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/human-resource-management
Music Extended Major,UWA Conservatorium of Music,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/music-extended-major
Medical Science,School of Biomedical Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/medical-science
Data Science,"School of Physics, Mathematics and Computing",主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/data-science
International Cybersecurity,"School of Physics, Mathematics and Computing",主校区,4,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/international-cybersecurity
History of Art,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/history-of-art
Asian Studies,School of Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/asian-studies
Applied Human Geography,School of Social Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/applied-human-geography
French Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/french-studies
Environmental Management,UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/environmental-management
Biodiversity and Evolution (Extended Major),School of Biological Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/biodiversity-and-evolution
Exercise and Health,School of Human Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/exercise-and-health
Sport Science,School of Human Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/sport-science
Marine and Coastal Processes,School of Earth Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/marine-and-coastal-processes
Fine Arts,School of Design,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/fine-arts
Integrated Dental Sciences,Dental School,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/integrated-dental-sciences
Classics and Ancient History,School of Humanities,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/classics-and-ancient-history
Enterprise and Innovation,UWA Business School,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/enterprise-and-innovation
Music: Electronic Music and Sound Design,UWA Conservatorium of Music,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/music-electronic-music-and-sound-design
Agricultural Science,UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/agricultural-science
Computing and Data Science,"School of Physics, Mathematics and Computing",主校区,4,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/computing-and-data-science
Microbiology and Immunology,School of Biomedical Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/microbiology-and-immunology
Environmental Science and Ecology (Extended Major),UWA School of Agriculture and Environment,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/environmental-science-and-ecology
Human Science and Neuroscience (Extended Major),School of Human Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/human-science-and-neuroscience
Landscape Architecture Studies,School of Design,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/landscape-architecture-studies
Aboriginal Health and Wellbeing,School of Population and Global Health,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/aboriginal-health-and-wellbeing
Communication and Media Studies,School of Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/communication-and-media-studies
"Indigenous Knowledge, History and Heritage",School of Indigenous Studies,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/indigenous-knowledge-history-and-heritage
Art History and Curatorial Studies,School of Humanities,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/art-history-and-curatorial-studies
Environmental Geography and Planning,School of Design,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/environmental-geography-and-planning
English and Literary Studies,School of Humanities,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/english-and-literary-studies
Psychology (Extended Major),School of Psychological Science,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/psychology-extended-major
Work and Employment Relations,School of Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/work-and-employment-relations
Anatomy and Human Biology,School of Human Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/anatomy-and-human-biology
Biochemistry of Nutrition (Extended Major),School of Molecular Sciences,Albany (Regional campus)+主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/biochemistry-of-nutrition-extended-major
Pharmacology and Toxicology,School of Biomedical Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/pharmacology-and-toxicology
Biomedical Engineering,School of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/biomedical-engineering
Humanities in Health and Medicine,School of Population and Global Health,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/humanities-in-health-and-medicine
Psychological and Behavioural Sciences,School of Psychological Science,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/psychological-and-behavioural-sciences
Human Sciences and Data Analytics (Extended Major),School of Human Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/human-sciences-and-data-analytics
Marine Science (Extended Major),School of Biological Sciences+School of Earth Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/marine-science-extended-major
Pathology and Laboratory Medicine,School of Biomedical Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/pathology-and-laboratory-medicine
Biochemistry and Molecular Biology,School of Molecular Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/biochemistry-and-molecular-biology
Political Science and International Relations,School of Social Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/political-science-and-international-relations
Wildlife Conservation (Extended Major),School of Biological Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/wildlife-conservation-extended-major
Molecular Life Sciences (Extended Major),School of Molecular Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/molecular-life-sciences-extended-major
Integrated Medical Sciences and Clinical Practice,Medical School,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/integrated-medical-sciences-and-clinical-practice
Chemical Engineering,School of Engineering,主校区,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/chemical-engineering
Podiatric Health and Medical Sciences,School of Allied Health,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/podiatric-health-and-medical-sciences
Integrated Earth and Marine Sciences (Extended Major),School of Earth Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/integrated-earth-and-marine-sciences-extended-major
Agricultural Science and Technology (Extended Major),UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/agricultural-science-and-technology-extended-major
"Sport Science, Exercise and Health (Extended Major)",School of Human Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/sport-science-exercise-and-health-extended-major
Human Sciences (Anatomy and Physiology) (Extended Major),School of Human Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/human-sciences---anatomy-and-physiology
Environmental Science and Management (Extended Major),UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/environmental-science-and-management-extended-major
Agribusiness and Agricultural Science (Extended Major),UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/agricultural-science-and-agribusiness-extended-major
Civil Engineering,School of Engineering,主校区,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/civil-engineering
Bachelor of Arts and Master of Teaching (Secondary),Graduate School of Education,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-arts-and-master-of-teaching-secondary
Bachelor of Science (Frontier Physics) and Master of Physics,"School of Physics, Mathematics and Computing",主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-science-frontier-physics-and-master-of-physics
Bachelor of Marine Science and Master of Oceanography,School of Biological Sciences+School of Earth Sciences+Oceans Graduate School,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-marine-science-and-master-of-oceanography
Bachelor of Science and Master of Teaching (Secondary),Graduate School of Education,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-science-and-master-of-teaching-secondary
Bachelor of Economics and Master of Economics,UWA Business School,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-economics-and-master-of-economics
Software Engineering,School of Engineering,主校区,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/software-engineering
Bachelor of Earth Sciences and Master of Oceanography,School of Earth Sciences+Oceans Graduate School,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-earth-sciences-and-master-of-oceanography
Bachelor of Earth Sciences and Master of Geoscience,School of Earth Sciences,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-earth-sciences-and-master-of-geoscience
Bachelor of Marine Science and Master of Marine Biology,School of Biological Sciences+School of Earth Sciences,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-marine-science-and-master-of-marine-biology
Bachelor of Biological Science and Master of Biotechnology,School of Biological Sciences+School of Molecular Sciences,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-biological-science-and-master-of-biotechnology
Bachelor of Science (Frontier Physics) and Master of Physics - Medical Physics,"School of Physics, Mathematics and Computing",主校区,4.5,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-science-frontier-physics-and-master-of-physics---medical-physics
Bachelor of Molecular Sciences and Master of Biotechnology,School of Molecular Sciences,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-molecular-sciences-and-master-of-biotechnology
Mechanical Engineering,School of Engineering,主校区,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/mechanical-engineering
Bachelor of Marine Science and Master of Environmental Science,School of Biological Sciences+School of Earth Sciences+UWA School of Agriculture and Environment,主校区,4,TRUE,本硕连读,https://www.uwa.edu.au/study/courses/bachelor-of-marine-science-and-master-of-environmental-science
Mining Engineering,School of Engineering,主校区,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/mining-engineering
