program,faculty,campus,duration,eng_taught,type,url
Rechtsgeleerdheid,Amsterdam Law School,Roeterseiland,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/rechtsgeleerdheid/rechtsgeleerdheid.html
Religiewetenschappen,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/religiewetenschappen/religiewetenschappen.html
Scandinavië studies,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/scandinavische-talen-en-culturen/scandinavie-studies.html
"Science, Technology & Innovation",Faculty of Science,Science Park,3,FALSE,交叉学科（单学位）,https://www.uva.nl/programmas/bachelors/science-technology-and-innovation/science-technology-and-innovation.html
Sign Language Linguistics (Linguistics),Faculty of Humanities,University Quarter,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/sign-language-linguistics-linguistics/sign-language-linguistics.html
Slavische talen en culturen,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/slavische-talen-en-culturen/russische-en-slavische-studies.html
Sociology,Faculty of Social and Behavioural Sciences,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/sociology/sociology.html
Spaanse en Latijns-Amerikaanse studies,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/spaanse-en-latijns-amerikaanse-studies/spaanse-en-latijns-amerikaanse-studies.html
Tandheelkunde,Faculty of Dentistry (ACTA),ACTA,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/tandheelkunde/tandheelkunde.html
Theaterwetenschap,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/theaterwetenschap/theaterwetenschap.html
Universitaire Pabo van Amsterdam,Faculty of Social and Behavioural Sciences,Roeterseiland,4,FALSE,联合培养,https://www.uva.nl/programmas/bachelors/universitaire-pabo-van-amsterdam/universitaire-pabo-van-amsterdam.html
