program,faculty,campus,duration,eng_taught,type,url
Medicine (Copenhagen),Faculty of Health and Medical Sciences,North Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/medicine-copenhagen
Medicine (Køge),Faculty of Health and Medical Sciences,Køge,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/medicine-koege
Mesoamerican Studies,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/mesoamerican-studies
Middle Eastern Language and Society,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/middle-eastern-language-and-society
Middle Eastern Language and Society (Archaeology of t. Middle East),Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/middle-eastern-language-and-society-archaeology-of-the-middle-east
Middle Eastern Language and Society (Assyriology),Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/middle-eastern-language-and-society-assyriology
Middle Eastern Language and Society (Egyptology),Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/middle-eastern-language-and-society-egyptology
Molecular Biomedicine,Faculty of Health and Medical Sciences,North Campus,3,FALSE,交叉学科（单学位）,https://www.ku.dk/studies/bachelor/molecular-biomedicine
Musicology,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/musicology
Nanoscience,Faculty of Science,North Campus,3,FALSE,交叉学科（单学位）,https://www.ku.dk/studies/bachelor/nanoscience
Natural Resources,Faculty of Science,Frederiksberg Campus,3,FALSE,交叉学科（单学位）,https://www.ku.dk/studies/bachelor/natural-resources
Pharmacy,Faculty of Health and Medical Sciences,North Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/pharmacy
Philosophy,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/philosophy
Physics,Faculty of Science,North Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/physics
Political Science,Faculty of Social Sciences,City Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/political-science
Prehistoric Archaeology,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/prehistoric-archaeology
Psychology,Faculty of Social Sciences,City Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/psychology
Public Health,Faculty of Health and Medical Sciences,City Campus+North Campus,3,FALSE,交叉学科（单学位）,https://www.ku.dk/studies/bachelor/public-health
Religious Studies,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/religious-studies
Rhetoric,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/rhetoric
Social Science,Faculty of Social Sciences,City Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/social-science
Sociology,Faculty of Social Sciences,City Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/sociology
Spanish and Latin American Language and Culture,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/spanish-and-latin-american-language-and-culture
Theatre and Performance Studies,Faculty of Humanities,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/theatre-and-performance-studies
Theology,Faculty of Theology,South Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/theology
Urban Landscape Engineering,Faculty of Science,Frederiksberg Campus,3,FALSE,交叉学科（单学位）,https://www.ku.dk/studies/bachelor/urban-landscape-engineering
Veterinary Medicine,Faculty of Health and Medical Sciences,Frederiksberg Campus,3,FALSE,单学位,https://www.ku.dk/studies/bachelor/veterinary-medicine
