program,faculty,campus,duration,eng_taught,type,url
Management and Technology,TUM School of Management,主校区+Garching,3,TRUE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/management-and-technology-bachelor-of-science-bsc
Mathematics,"TUM School of Computation, Information and Technology",Garching,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/mathematics-bachelor-of-science-bsc
Mechanical Engineering,TUM School of Engineering and Design,Garching,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/mechanical-engineering-bachelor-of-science-bsc
Molecular Biotechnology,TUM School of Life Sciences,Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/molecular-biotechnology-bachelor-of-science-bsc
Pharmaceutical Bioprocess Engineering,TUM School of Life Sciences,Straubing,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/pharmaceutical-bioprocess-engineering-bachelor-of-science-bsc
Physics,TUM School of Natural Sciences,Garching,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/physics-bachelor-of-science-bsc
Political Science,TUM School of Social Sciences and Technology,主校区,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/political-science-bachelor-of-science-bsc
Sport Science,TUM School of Medicine and Health,主校区,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/sport-science-bachelor-of-science-bsc
Sustainable Engineering for Materials and Processes,TUM School of Life Sciences,Straubing,3,TRUE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/sustainable-engineering-for-materials-and-processes-bachelor-of-science-bsc
Sustainable Management and Technology,TUM School of Management+TUM School of Life Sciences,Straubing,3,TRUE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/sustainable-management-and-technology-bachelor-of-science-bsc
Teaching at Academic Secondary Schools – Scientific Education,TUM School of Social Sciences and Technology+multiple schools,主校区+Garching+Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/teaching-at-academic-secondary-schools-scientific-education-bachelor-of-education-bed
Technology of Biogenic Resources,TUM School of Life Sciences,Straubing,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/technology-of-biogenic-resources-bachelor-of-science-bsc
Vocational Education Agriculture (Teaching at Vocational Schools),TUM School of Social Sciences and Technology+TUM School of Life Sciences,Weihenstephan (Freising)+主校区+Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/vocational-education-agriculture-teaching-at-vocational-schools-bachelor-of-education-bed
Vocational Education Electrical Engineering and Information Technology (Teaching at Vocational Schools),"TUM School of Social Sciences and Technology+TUM School of Computation, Information and Technology",Weihenstephan (Freising)+主校区+Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/vocational-education-electrical-engineering-and-information-technology-teaching-at-vocational-schools-bachelor-of-education-bed
Vocational Education Health and Health Care Science (Teaching at Vocational Schools),TUM School of Social Sciences and Technology+TUM School of Medicine and Health,主校区+Weihenstephan (Freising)+Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/vocational-education-health-and-health-care-science-teaching-at-vocational-schools-bachelor-of-education-bed
Vocational Education Metal Engineering (Teaching at Vocational Schools),TUM School of Social Sciences and Technology+TUM School of Engineering and Design,主校区+Garching+Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/vocational-education-metal-engineering-teaching-at-vocational-schools-bachelor-of-education-bed
Vocational Education Nutrition and Home Economics (Teaching at Vocational Schools),TUM School of Social Sciences and Technology+TUM School of Life Sciences,Garching+主校区+Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/vocational-education-nutrition-and-home-economics-teaching-at-vocational-schools-bachelor-of-education-bed
Vocational Education Structural Engineering (Teaching at Vocational Schools),TUM School of Social Sciences and Technology+TUM School of Engineering and Design,主校区+Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/vocational-education-structural-engineering-teaching-at-vocational-schools-bachelor-of-education-bed
