program,faculty,campus,duration,eng_taught,type,url
Bachelor of Engineering in Biomedical Engineering,Li Ka Shing Faculty of Medicine+School of Biomedical Engineering,主校区+Sassoon Road Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-biomedical-engineering
"Bachelor of Global Leadership, Innovation and Society (Self-financed Programme)",HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-global-leadership-innovation-and-society-self
"Global Engineering and Business Programme (Major in Entrepreneurship, Design and Innovation)",HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Finance),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Human Resource Management),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Information Systems and Analytics),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Marketing),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Civil Engineering),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Computer Engineering),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Electrical Engineering),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Electronic Engineering),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Data and Systems Engineering),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Global Engineering and Business Programme (Major in Mechanical Engineering),HKU Business School+Faculty of Engineering,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/global-engineering-and-business-programme
Bachelor of Biomedical Sciences,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-biomedical-sciences
Bachelor of Engineering in Computer Engineering / Electrical Engineering / Electronic Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-computer-engineering-electrical-engineering
Computing and Data Science,School of Computing and Data Science,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science
Computing and Data Science (Delta+),School of Computing and Data Science,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science-delta
HKU-Cambridge Joint Recruitment Scheme (Engineering),Faculty of Engineering,主校区+Cambridge,2+3,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-cambridge-joint-recruitment-scheme-engineering-and-computer-science
HKU-PKU Dual Degree Programme,Faculty of Law,Centennial Campus+PKU,2.5+2.5,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes
HKU-PKU Dual Degree Programme,Faculty of Social Sciences,Centennial Campus+PKU,2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes
HKU-PKU Future Leaders Dual Degree Programme,HKU Business School,主校区+PKU,2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-pku-future-leaders-dual-degree-programme
HKU-Sciences Po Dual Degree Programme,Faculty of Arts+HKU Business School+Faculty of Social Sciences,Centennial Campus+主校区+Sciences Po (Reims),2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-sciences-po-dual-degree-programme
HKU-Sciences Po Dual Degree Programme,Faculty of Arts+HKU Business School+Faculty of Social Sciences,Centennial Campus+主校区+Sciences Po (Menton),2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-sciences-po-dual-degree-programme
HKU-Sciences Po Dual Degree Programme,Faculty of Arts+HKU Business School+Faculty of Social Sciences,Centennial Campus+主校区+Sciences Po (Le Havre),2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-sciences-po-dual-degree-programme
HKU-UCL Dual Degree Programme,Faculty of Law,Centennial Campus+UCL,2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-ucl-dual-degree-programme
HKU-University of British Columbia Dual Degree Programme,HKU Business School,主校区+UBC Sauder,2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-university-of-british-columbia-dual-degree-programme
"HKU-University of California, Berkeley Dual Degree Programme",Faculty of Arts+Faculty of Social Sciences,Centennial Campus+UC Berkeley,2+2,TRUE,联合培养,https://www.admissions.hku.hk/programmes/university-collaborative-programmes/hku-university-of-california-berkeley-dual-degree-programme
Bachelor of Arts and Sciences in Global Health and Development,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,4,TRUE,交叉学科（单学位）,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-global-health-and-development
