campus,city
主校区,阿德莱德
Magill Campus,阿德莱德
Mawson Lakes Campus,阿德莱德
Mount Gambier Campus,芒特甘比尔
Roseworthy,罗斯沃西
Waite,阿德莱德
Whyalla Campus,怀阿拉
Online,线上
