campus,city
主校区,慕尼黑
Garching,加兴
Ottobrunn,奥托布伦
Weihenstephan (Freising),弗赖辛
Straubing,施特劳宾
Heilbronn,海尔布隆
Augsburg,奥格斯堡
TUM Asia,新加坡
Singapore,新加坡
Singapore Institute of Technology,新加坡
