campus,city
主校区,墨尔本
Caulfield,墨尔本
Peninsula,墨尔本
Parkville,墨尔本
Docklands,墨尔本
Alfred,墨尔本
Law Chambers,墨尔本
Berwick,墨尔本
Malaysia,双威城
Indonesia,坦格朗
Prato,普拉托
Suzhou,苏州
Mumbai,孟买
