campus,city
主校区,苏黎世
Hönggerberg,苏黎世
Irchel,苏黎世
Oerlikon,苏黎世
Balgrist,苏黎世
Schulthess,苏黎世
Schwerzenbach,施韦岑巴赫
Basel,巴塞尔
CSCS,卢加诺
Singapore ETH Centre,新加坡
Alp Weissenstein,贝尔根
Congressi Stefano Franscini,阿斯科纳
Früebüel,瓦尔希尔
Villa Garbald,卡斯塔塞尼亚
AgroVet-Strickhof,林道
