campus,city
主校区,香港
School of Hotel and Tourism Management,香港
Hung Hom Bay Campus,香港
West Kowloon Campus,香港
Copenhagen Business School,哥本哈根
Modul University Vienna,维也纳
PolyU Shenzhen Research Institute,深圳
PolyU-Shenzhen Technology and Innovation Research Institute (Futian),深圳
