campus,city
主校区,香港
Centennial Campus,香港
Sassoon Road Campus,香港
Prince Philip Dental Hospital,香港
Kadoorie Centre,香港
Swire Institute of Marine Science,香港
Cambridge,剑桥
PKU,北京
Sciences Po (Reims),兰斯
Sciences Po (Menton),芒通
Sciences Po (Le Havre),勒阿弗尔
UCL,伦敦
UBC Sauder,温哥华
UC Berkeley,伯克利
