campus,city
主校区,堪培拉
Kioloa Coastal Campus,基奥洛阿
Mount Stromlo Observatory,堪培拉
North Australian Research Unit,达尔文
Siding Spring Observatory,库纳巴拉布兰
Spring Valley Farm,堪培拉
Ritsumeikan University,茨木
Osaka Ibaraki campus,茨木
