campus,city
主校区,悉尼
Paddington,悉尼
Randwick,悉尼
Manly Vale,悉尼
David Phillips Sports Field Complex,悉尼
Bankstown Flight Training Facility,悉尼
FOU - Bankstown Airport,悉尼
"",悉尼
Canberra,堪培拉
UNSW Canberra,堪培拉
UNSW Bengaluru,班加罗尔
