campus,city
City Campus,哥本哈根
North Campus,哥本哈根
Frederiksberg Campus,弗雷德里克斯贝
South Campus,哥本哈根
Køge Campus,克厄
Kalundborg Campus,卡伦堡
Forest and Landscape College Nødebo,诺德博
Forest and Landscape College Djursland,尤尔斯兰
Taastrup Campus,托斯楚普
DTU,灵比
