campus,city
主校区,香港
Columbia University,纽约
National Taiwan University,台北
ESSEC Business School,塞尔吉
"CentraleSupélec, Paris-Saclay University",帕莱索
The University of Manchester,曼彻斯特
The University of Edinburgh,爱丁堡
Leuphana University,吕讷堡
