campus,city
主校区,阿姆斯特丹
Roeterseiland,阿姆斯特丹
Science Park,阿姆斯特丹
University Quarter,阿姆斯特丹
Amsterdam UMC - location AMC,阿姆斯特丹
ACTA,阿姆斯特丹
Amsterdam University College (AUC),阿姆斯特丹
