campus,city
主校区,奥克兰
Grafton,奥克兰
Newmarket,奥克兰
Epsom,奥克兰
South Auckland Campus | Te Papa Ako o Tai Tonga,奥克兰
Tai Tokerau Campus,旺阿雷
Leigh Marine Laboratory,利
Goldie Estate – Wine Science Centre,怀赫科岛
