campus,city
主校区,珀斯
Albany (Regional campus),奥尔巴尼
Online,线上
UWA Health Campus,珀斯
QEII,珀斯
Claremont Campus,珀斯
Nedlands,珀斯
Shenton-McGillivray,珀斯
